,neighborhood,city,population,density,family_size,income_household_median,income_individual_median,home_ownership,housing_units,home_value,rent_median,rent_burden,labor_force_participation,unemployment_rate,poverty,total_units,rent_per_month,hh_income,price
0,Boulder City,clark-county,14875.0,62.2,2.92,69620.0,32837.0,72.1,6163.0,324916.0,1171.0,31.4,51.3,7.0,11.4,65,353.0,,178.32142857142858
1,City of Henderson,clark-county,297590.0,1406.2857142857142,21.98,78562.85714285714,39083.142857142855,63.1,115610.0,2462074.0,1444.2857142857142,30.071428571428573,62.9,7.2,8.114285714285714,1149,516.2857142857143,,216.726368159204
2,City of Las Vegas,clark-county,550646.0,2033.9199999999998,49.95,69860.2,36261.53333333333,56.586666666666666,207509.0,4774443.0,1375.8666666666666,33.00666666666667,61.99333333333333,7.42,14.226666666666667,5968,462.5,,202.7650323774283
3,City of Mesquite,clark-county,17588.0,543.5,2.91,61019.0,28670.0,73.5,7172.0,258191.0,965.0,25.2,44.4,6.5,9.0,9,-4.0,,173.16831683168317
4,City of North Las Vegas,clark-county,256352.0,1947.8714285714286,24.94,71451.14285714286,35340.57142857143,60.94285714285714,80376.0,2011433.0,1483.7142857142858,31.82857142857143,65.65714285714286,8.6,13.299999999999999,2436,493.57142857142856,,200.67248908296943
5,Unincorporated Areas,clark-county,1073711.0,1434.2241379310344,96.81,66442.44827586207,35174.34482758621,54.86896551724138,393232.0,8481016.0,1324.4137931034484,31.444827586206895,65.14137931034483,7.63448275862069,14.293103448275861,7206,392.73333333333335,,570.2030034235917
6,Ward A (councilmember Denise Ridley),jersey-city,71911.0,4870.9,3.49,67048.0,32802.0,42.0,25335.0,348525.0,1340.0,34.3,63.8,6.8,19.9,3694,471.0,,119.82352941176471
7,Ward B (councilmember Mira Prinz-Arey),jersey-city,55053.0,7116.8,3.15,66812.0,35588.0,23.4,21825.0,393864.0,1373.0,29.4,62.7,5.9,18.5,2570,486.0,,128.72661870503597
8,Ward D (councilmember Michael Yun),jersey-city,43151.0,8765.4,3.15,69124.0,38883.0,32.2,17009.0,486822.0,1466.0,32.3,68.9,5.0,14.5,825,382.0,,138.73333333333332
9,Ward E (councilmember James Solomon),jersey-city,65093.0,11240.599999999999,5.23,156829.5,93813.0,18.85,31896.0,1479869.0,2841.0,24.15,80.25,2.95,9.95,2281,304.0,,231.8862973760933
10,Ward F (councilmember Jermaine D. Robinson),jersey-city,50444.0,9476.6,3.33,60787.0,31824.0,29.1,18673.0,385785.0,1320.0,32.6,66.8,9.8,19.4,3058,438.0,,144.2560975609756
11,Coconut Creek,broward-county,50406.0,1840.15,6.220000000000001,68579.5,37476.5,69.85,20108.0,509518.0,1689.5,33.65,62.550000000000004,5.8999999999999995,9.45,101,650.0,,221.21052631578948
12,Coral Springs,broward-county,99772.0,2372.8,6.91,77559.0,36941.5,58.85,32947.0,735753.0,1643.5,35.4,71.15,7.25,10.0,815,652.5,,184.20224719101122
13,Dania Beach,broward-county,15876.0,907.3,2.95,43138.0,28665.0,43.2,7003.0,238438.0,1379.0,44.9,65.1,11.5,19.1,347,481.0,,174.07703927492446
14,Davie,broward-county,88513.0,1250.3999999999999,9.85,83164.33333333333,35995.0,64.5,30739.0,640549.0,1737.0,41.13333333333333,70.53333333333333,4.633333333333334,11.566666666666668,334,487.6666666666667,,238.37234042553192
15,Deerfield Beach,broward-county,121613.0,2146.733333333333,9.33,51422.666666666664,29626.0,60.166666666666664,50708.0,666293.0,1494.0,41.9,63.199999999999996,6.466666666666666,14.5,1304,481.3333333333333,,256.5408560311284
16,Fort Lauderdale,broward-county,230134.0,1933.3444444444442,25.41,74450.77777777778,44080.555555555555,56.84444444444445,97495.0,3871541.0,1482.2222222222222,34.05555555555556,65.01111111111112,4.7555555555555555,12.055555555555555,4654,360.4,,272.06555213374395
17,Hallandale Beach,broward-county,43547.0,3437.2,2.92,41580.0,27188.0,53.2,20180.0,225827.0,1352.0,40.6,60.7,8.8,21.5,399,220.0,,249.1843805049912
18,Lauderhill,broward-county,63715.0,3929.4,3.7,42177.0,23424.0,43.1,21780.0,168047.0,1312.0,42.5,64.5,8.1,21.8,1519,518.0,,117.18110236220473
19,Margate,broward-county,54907.0,2583.9,2.91,53594.0,30328.0,71.3,24961.0,201598.0,1470.0,41.0,65.8,4.0,12.3,204,597.0,,146.25225225225225
20,Miramar,broward-county,251398.0,2159.525,13.92,76603.25,37321.5,69.94999999999999,85127.0,1265540.0,1675.0,37.575,68.025,5.475,10.9,1645,651.0,,148.09274193548387
21,Oakland Park,broward-county,29497.0,2389.1,3.29,61013.0,31849.0,57.7,12730.0,347606.0,1332.0,37.3,71.5,6.6,15.3,106,263.0,,173.24022346368716
22,Parkland,broward-county,67693.0,1250.55,7.07,132038.5,54264.0,80.25,21213.0,1044994.0,2170.5,35.25,67.80000000000001,5.4,3.35,94,674.0,,333.52941176470586
23,Pembroke Pines,broward-county,133218.0,2322.7000000000003,10.14,84841.33333333333,37467.333333333336,73.39999999999999,45130.0,1014978.0,1774.3333333333333,34.86666666666667,69.89999999999999,4.5,7.5,1241,574.3333333333334,,484.5474683544304
24,Plantation,broward-county,126748.0,2142.7999999999997,9.44,68273.33333333333,33993.333333333336,72.46666666666667,50677.0,812988.0,1725.3333333333333,33.86666666666667,65.16666666666667,5.8999999999999995,11.566666666666668,444,623.6666666666666,,282.9366515837104
25,Pompano Beach,broward-county,90678.0,1884.1333333333332,9.030000000000001,58806.0,32872.666666666664,55.03333333333334,38348.0,869256.0,1406.3333333333333,36.699999999999996,56.93333333333334,9.266666666666667,14.966666666666667,889,386.75,,194.4018847006652
26,Southwest Ranches,broward-county,39600.0,664.35,6.88,127601.5,49243.5,89.35,12068.0,1098990.0,2478.5,36.9,65.15,3.45,3.55,43,651.5,,515.8611111111111
27,Sunrise,broward-county,57798.0,1801.25,6.67,82209.5,38135.5,63.3,20908.0,622527.0,1904.5,34.8,73.25,4.7,6.6000000000000005,452,551.5,,136.61214953271028
