,city,neighborhood,coordinates
0,broward-county,Unincorporated,"(-80.17989734293823, 26.323974)"
1,broward-county,Fort Lauderdale,"(-80.14825476231263, 26.198245999999997)"
2,broward-county,Unincorporated,"(-80.29650904833045, 26.3538995)"
3,broward-county,Unincorporated,"(-80.2224815, 26.3328445)"
4,broward-county,Dania Beach,"(-80.2063292783688, 26.0478855)"
5,broward-county,Southwest Ranches,"(-80.33003282983094, 26.046336500000002)"
6,broward-county,Unincorporated,"(-80.26651881021249, 26.346352)"
7,broward-county,Tamarac,"(-80.27090855805895, 26.203757500000002)"
8,broward-county,Hallandale Beach,"(-80.14132513207143, 25.9858235)"
9,broward-county,Davie,"(-80.29537528685157, 26.061902500000002)"
10,broward-county,Fort Lauderdale,"(-80.17732569805003, 26.1965045)"
11,broward-county,Weston,"(-80.40283718204059, 26.103918999999998)"
12,broward-county,Unincorporated,"(-80.18066435581787, 26.319906)"
13,broward-county,Unincorporated,"(-80.18809579594921, 26.322722)"
14,broward-county,Unincorporated,"(-80.16876668102535, 26.268106)"
15,broward-county,Southwest Ranches,"(-80.38372998733865, 26.0468865)"
16,broward-county,Fort Lauderdale,"(-80.14022805771586, 26.141261)"
17,broward-county,Wilton Manors,"(-80.13726911142876, 26.1587995)"
18,broward-county,Hollywood,"(-80.17270974020808, 26.0482915)"
19,broward-county,Unincorporated,"(-80.1779366459562, 26.322250500000003)"
20,broward-county,Southwest Ranches,"(-80.41563010590497, 26.036682499999998)"
21,broward-county,Coral Springs,"(-80.26561381769612, 26.261076000000003)"
22,broward-county,Dania Beach,"(-80.15739755050046, 26.054087)"
23,broward-county,County Regional Facility,"(-80.16049505538078, 26.281543499999998)"
24,broward-county,Southwest Ranches,"(-80.31565575659279, 26.0554205)"
25,broward-county,North Lauderdale,"(-80.22122514748042, 26.207729)"
26,broward-county,Dania Beach,"(-80.19854308056831, 26.069491)"
27,broward-county,County Regional Facility,"(-80.15769947947663, 26.0748635)"
28,broward-county,County Regional Facility,"(-80.41544077598408, 26.033537000000003)"
29,broward-county,Unincorporated,"(-80.36170044055375, 26.1131515)"
30,broward-county,Unincorporated,"(-80.18189358454242, 26.322036)"
31,broward-county,Hollywood,"(-80.17808077813447, 26.039793500000002)"
32,broward-county,Sunrise,"(-80.32908060611699, 26.14756)"
33,broward-county,Lazy Lake,"(-80.145223547147, 26.1561735)"
34,broward-county,Cooper City,"(-80.2738326465655, 26.0476515)"
35,broward-county,Unincorporated,"(-80.27646524375, 26.1062475)"
36,broward-county,Unincorporated,"(-80.36138376807556, 26.1130405)"
37,broward-county,Unincorporated,"(-80.2714405000001, 26.229647999999997)"
38,broward-county,Parkland,"(-80.2232155420109, 26.291455499999998)"
39,broward-county,Plantation,"(-80.25774370403633, 26.1267255)"
40,broward-county,Tribal Land,"(-80.199192500826, 26.2774835)"
41,broward-county,Pembroke Pines,"(-80.41985927151126, 26.0524425)"
42,broward-county,County Regional Facility,"(-80.2045130525093, 26.0696005)"
43,broward-county,Lauderhill,"(-80.22535398018024, 26.1574405)"
44,broward-county,Dania Beach,"(-80.19339851666254, 26.048115000000003)"
45,broward-county,Hillsboro Beach,"(-80.07950685179424, 26.281834500000002)"
46,broward-county,Davie,"(-80.29036812371947, 26.061715999999997)"
47,broward-county,Davie,"(-80.28399729010462, 26.0759995)"
48,broward-county,Margate,"(-80.21405599344814, 26.242268000000003)"
49,broward-county,Unincorporated,"(-80.19137570013646, 26.3245815)"
50,broward-county,Unincorporated,"(-80.18540373738318, 26.324123999999998)"
51,broward-county,Tribal Land,"(-80.20902462331233, 26.0428885)"
52,broward-county,Sea Ranch Lakes,"(-80.09825513095238, 26.200738)"
53,broward-county,Pembroke Pines,"(-80.3633837687778, 26.036281)"
54,broward-county,North Lauderdale,"(-80.20066149385246, 26.203297499999998)"
55,broward-county,County Regional Facility,"(-80.42552583925031, 26.0366885)"
56,broward-county,Unincorporated,"(-80.18041979310675, 26.1338255)"
57,broward-county,Pembroke Park,"(-80.17293351042791, 25.984596500000002)"
58,broward-county,Lauderdale Lakes,"(-80.20494473114101, 26.168491500000002)"
59,broward-county,West Park,"(-80.20249298386827, 25.984136499999998)"
60,broward-county,Lauderdale By The Sea,"(-80.09475812229356, 26.2008945)"
61,broward-county,Fort Lauderdale,"(-80.18274576075471, 26.084633)"
62,broward-county,Fort Lauderdale,"(-80.15641809314702, 26.176647000000003)"
63,broward-county,Fort Lauderdale,"(-80.20154575785124, 26.188696999999998)"
64,broward-county,Hollywood,"(-80.1809770007772, 26.0846485)"
65,broward-county,Fort Lauderdale,"(-80.18318355643584, 26.0830885)"
66,broward-county,Dania Beach,"(-80.11193404700451, 26.0575185)"
67,broward-county,County Regional Facility,"(-80.2007147673969, 26.077472)"
68,broward-county,Unincorporated,"(-80.19963976627304, 26.205265)"
69,broward-county,Unincorporated,"(-80.20988072773613, 26.095256)"
70,broward-county,Unincorporated,"(-80.18390403617681, 26.3214855)"
71,broward-county,Unincorporated,"(-80.36060147093023, 26.112311499999997)"
72,broward-county,Unincorporated,"(-80.21242667671235, 26.046563499999998)"
73,broward-county,Davie,"(-80.29478845388269, 26.052690499999997)"
74,broward-county,Lighthouse Point,"(-80.08880563826663, 26.279739)"
75,broward-county,Dania Beach,"(-80.12965045043735, 26.079961)"
76,broward-county,Unincorporated,"(-80.36198004016424, 26.113649000000002)"
77,broward-county,Parkland,"(-80.27392157282432, 26.325485)"
78,broward-county,Unincorporated,"(-80.23312805339106, 26.335642999999997)"
79,broward-county,Unincorporated,"(-80.24487870719065, 26.330409)"
80,broward-county,Unincorporated,"(-80.26512487132634, 26.335753)"
81,broward-county,Oakland Park,"(-80.13739843814035, 26.1804065)"
82,broward-county,Deerfield Beach,"(-80.12443331989653, 26.3011865)"
83,broward-county,Pompano Beach,"(-80.1253155048828, 26.2517455)"
84,broward-county,Coconut Creek,"(-80.18186629180546, 26.271283500000003)"
85,broward-county,Pembroke Pines,"(-80.34076413338157, 26.021289)"
86,broward-county,Miramar,"(-80.3232048864972, 25.978842)"
87,broward-county,Unincorporated,"(-80.26732116229016, 26.340134)"
88,broward-county,Unincorporated,"(-80.2672585, 26.336648)"
89,austin,78739,"(-97.89225520676146, 30.179018)"
90,austin,78754,"(-97.64214422916666, 30.3658595)"
91,austin,78732,"(-97.8925585205951, 30.382038)"
92,austin,78737,"(-97.96638860208597, 30.175604)"
93,austin,78756,"(-97.73758978526229, 30.320504)"
94,austin,78747,"(-97.77384909896968, 30.1198305)"
95,austin,78751,"(-97.72500896707731, 30.310034)"
96,austin,78712,"(-97.72977009989182, 30.2860815)"
97,austin,78738,"(-97.98317592473119, 30.314135)"
98,austin,78725,"(-97.59452280427442, 30.2458435)"
