zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,age_median,age_under_10,age_10_to_19,age_20s,age_30s,age_40s,age_50s,age_60s,age_70s,age_over_80,age_over_65,age_18_to_24,age_over_18,male,female,married,divorced,never_married,widowed,family_size,family_dual_income,income_household_median,income_household_under_5,income_household_5_to_10,income_household_10_to_15,income_household_15_to_20,income_household_20_to_25,income_household_25_to_35,income_household_35_to_50,income_household_50_to_75,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,housing_units,home_value,rent_median,rent_burden,education_less_highschool,education_highschool,education_some_college,education_bachelors,education_graduate,education_college_or_above,education_stem_degree,labor_force_participation,unemployment_rate,self_employed,farmer,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple,hispanic,disabled,poverty,limited_english,commute_time,health_uninsured,veteran,charitable_givers,cbsa_fips,cbsa_name,cbsa_metro,csa_fips,csa_name,metdiv_fips,metdiv_name,neighborhood,city_file
2108,42.35657,-71.06516,Boston,MA,Massachusetts,True,,4225.0,5956.4,25025.0,Suffolk,"{""25025"": 100}",Suffolk,25025,False,False,America/New_York,35.7,0.0,18.5,23.6,12.1,9.7,12.5,11.2,9.8,2.6,17.9,25.8,94.4,50.4,49.6,29.8,10.3,58.1,1.8,2.44,26.8,151793.0,1.9,3.1,7.7,0.6,0.0,2.8,2.7,10.8,4.8,14.8,50.9,65.7,68567.0,46.9,1905.0,1865604.0,2368.0,27.0,2.7,11.3,12.2,29.7,44.2,73.9,51.1,58.5,11.2,,,82.3,5.4,5.2,0.0,0.0,3.7,3.4,7.0,9.5,16.3,0.0,20.9,1.6,4.2,,14460.0,"Boston-Cambridge-Newton, MA-NH",True,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",14454.0,"Boston, MA",Beacon Hill,boston
2109,42.36498,-71.05277,Boston,MA,Massachusetts,True,,3627.0,8258.2,25025.0,Suffolk,"{""25025"": 100}",Suffolk,25025,False,False,America/New_York,35.6,6.6,0.6,30.5,20.0,9.8,12.0,9.0,8.1,3.3,14.6,4.5,92.9,49.0,51.0,40.4,7.3,49.2,3.1,2.55,66.6,156351.0,1.3,1.1,2.1,3.5,0.6,2.1,2.0,10.5,7.4,18.5,51.0,69.5,80903.0,39.9,1958.0,856609.0,3212.0,23.6,3.2,8.3,8.5,46.1,33.9,80.0,46.7,80.1,2.4,,,86.6,1.0,8.6,0.0,0.0,0.3,3.5,1.6,3.8,6.0,2.9,22.7,1.4,2.9,,14460.0,"Boston-Cambridge-Newton, MA-NH",True,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",14454.0,"Boston, MA",North End,boston
2110,42.35797,-71.05189,Boston,MA,Massachusetts,True,,2307.0,4979.4,25025.0,Suffolk,"{""25025"": 100}",Suffolk,25025,False,False,America/New_York,54.6,5.1,4.0,12.7,9.4,13.3,13.4,26.6,12.7,2.8,36.5,3.1,92.1,47.4,52.6,59.8,8.7,28.0,3.5,2.27,35.3,123942.0,5.5,5.4,2.7,3.4,0.0,4.8,1.2,10.5,4.4,14.6,47.7,62.3,62418.0,63.1,1282.0,1142760.0,3034.0,33.5,2.2,1.1,10.1,36.5,50.1,86.6,53.6,59.5,7.4,,,89.2,2.2,4.3,0.0,0.6,0.8,2.9,2.7,8.4,12.7,0.9,25.5,0.8,4.4,,14460.0,"Boston-Cambridge-Newton, MA-NH",True,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",14454.0,"Boston, MA",Downtown,boston
2111,42.35067,-71.06054,Boston,MA,Massachusetts,True,,7841.0,15445.6,25025.0,Suffolk,"{""25025"": 100}",Suffolk,25025,False,False,America/New_York,31.2,9.5,14.4,23.6,12.8,10.5,9.5,8.1,5.4,6.2,16.0,21.9,86.0,45.8,54.2,39.0,5.3,48.9,6.8,2.74,49.3,65587.0,11.0,4.8,7.5,5.4,2.2,6.1,8.7,8.8,6.3,8.3,30.9,39.2,35231.0,27.7,3515.0,867632.0,1619.0,52.8,18.0,15.3,8.7,22.6,35.4,58.0,61.4,60.4,7.8,,,40.7,2.1,48.3,0.3,0.0,2.3,6.2,8.8,10.7,26.0,28.6,20.6,1.5,2.8,,14460.0,"Boston-Cambridge-Newton, MA-NH",True,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",14454.0,"Boston, MA",Chinatown,boston
2112,42.35768,-71.05763,Boston,MA,Massachusetts,False,2110.0,,,25025.0,Suffolk,"{""25025"": 100}",Suffolk,25025,False,False,America/New_York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14460.0,"Boston-Cambridge-Newton, MA-NH",True,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",14454.0,"Boston, MA",Downtown,boston
2113,42.36526,-71.05524,Boston,MA,Massachusetts,True,,6726.0,26683.6,25025.0,Suffolk,"{""25025"": 100}",Suffolk,25025,False,False,America/New_York,29.8,3.6,0.4,46.9,28.6,4.4,5.5,6.2,3.5,1.0,7.5,19.9,96.0,45.6,54.4,18.3,6.4,73.6,1.6,2.5,67.1,100613.0,2.7,0.3,1.9,3.5,1.1,2.4,4.7,18.8,14.0,25.8,24.9,50.7,66013.0,15.6,4025.0,712548.0,2144.0,26.3,2.4,6.3,10.7,50.8,29.9,80.7,49.3,86.8,2.0,,,88.3,3.6,3.7,0.2,0.0,2.9,1.5,9.7,8.0,9.4,8.3,25.9,3.2,1.5,,14460.0,"Boston-Cambridge-Newton, MA-NH",True,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",15764.0,"Cambridge-Newton-Framingham, MA",North End,boston
2114,42.36337,-71.06686,Boston,MA,Massachusetts,True,,13401.0,11669.0,25025.0,Suffolk,"{""25025"": 100}",Suffolk,25025,False,False,America/New_York,33.8,5.2,3.1,26.5,27.7,10.6,10.8,8.5,5.5,2.0,11.4,6.9,92.4,53.5,46.5,34.4,7.6,55.8,2.3,2.54,68.3,118125.0,4.9,2.5,5.4,1.6,1.7,0.9,3.9,11.2,9.2,17.7,40.9,58.6,77476.0,23.1,7358.0,881821.0,2650.0,28.4,3.6,5.8,7.6,40.9,42.1,83.0,56.2,75.9,2.5,,,78.2,4.1,8.5,0.1,0.0,3.3,5.8,9.6,8.1,11.3,5.5,21.3,1.0,2.8,,14460.0,"Boston-Cambridge-Newton, MA-NH",True,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",15764.0,"Cambridge-Newton-Framingham, MA",West End,boston
2115,42.34046,-71.09481,Boston,MA,Massachusetts,True,,28559.0,15515.2,25025.0,Suffolk,"{""25025"": 100}",Suffolk,25025,False,False,America/New_York,21.9,2.8,30.2,36.8,10.9,3.9,5.0,4.6,3.0,2.8,8.7,54.5,94.3,49.0,51.0,9.7,4.6,82.7,2.9,2.63,43.5,47486.0,10.9,5.6,12.0,4.0,4.6,5.4,11.5,13.7,7.1,9.8,15.4,25.2,11508.0,12.3,9455.0,932186.0,1784.0,51.9,9.3,13.8,12.6,38.3,26.1,64.4,54.2,54.4,12.5,,,60.3,8.0,18.3,0.2,0.4,4.8,8.0,14.6,9.1,34.8,16.6,21.7,2.1,1.2,,14460.0,"Boston-Cambridge-Newton, MA-NH",True,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",15764.0,"Cambridge-Newton-Framingham, MA",Fenway,boston
2116,42.35105,-71.07638,Boston,MA,Massachusetts,True,,22587.0,13429.2,25025.0,Suffolk,"{""25025"": 100}",Suffolk,25025,False,False,America/New_York,33.7,5.5,10.4,23.7,20.3,9.4,10.5,9.7,6.8,3.9,14.6,18.2,91.6,45.9,54.1,34.2,7.9,54.3,3.6,2.48,56.3,121967.0,5.0,3.2,5.7,2.8,2.3,4.3,3.9,7.3,7.6,14.7,43.1,57.8,73368.0,36.0,11707.0,1411873.0,2183.0,32.2,7.1,6.8,7.2,32.9,45.9,78.8,53.2,67.4,3.1,,,70.7,4.8,13.9,0.2,0.4,2.9,7.2,7.9,8.5,12.6,9.4,22.0,2.1,1.7,,14460.0,"Boston-Cambridge-Newton, MA-NH",True,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",14454.0,"Boston, MA",Back Bay,boston
2117,42.34217,-71.0733,Boston,MA,Massachusetts,False,2118.0,,,25025.0,Suffolk,"{""25025"": 100}",Suffolk,25025,False,False,America/New_York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14460.0,"Boston-Cambridge-Newton, MA-NH",True,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",14454.0,"Boston, MA",South End,boston
