city,neighbourhood_cleansed,population,housing_units,rent_median,rent_burden
asheville,28704,21609.0,7800.0,1182.0191463077626,34.39996792845858
asheville,28715,27886.0,10235.0,1035.0201080314293,27.50022258359254
asheville,28732,18275.0,7084.0,1130.0,26.6
asheville,28801,14396.0,6545.0,966.0437435790805,44.099278060993434
asheville,28803,34038.0,14258.0,1246.0205495366615,33.70000040931086
asheville,28804,24855.0,9497.0,1256.0136685803436,35.69991981356112
asheville,28805,20147.0,8885.0,1040.0,29.299999999999997
asheville,28806,44735.0,17060.0,1042.0247561222507,32.20006737302163
austin,78701,9566.0,6102.0,2120.6705410188847,25.305273029099794
austin,78702,24831.0,11094.0,1558.001519574904,31.30009693391573
austin,78703,22112.0,10866.0,1992.9820338533123,29.600185734716963
austin,78704,49857.0,26622.0,1532.0038349217432,26.900409589389334
austin,78705,32507.0,8911.0,1435.0049445523869,79.49859128698624
austin,78717,34087.0,12736.0,1486.0,25.5
austin,78719,1.0,1.0,1595.7325644423388,33.70696606144814
austin,78721,10729.0,4131.0,1405.017777291867,40.99932025035525
austin,78722,5938.0,3048.0,1470.0,26.3
austin,78723,36114.0,14496.0,1270.0,35.3
austin,78724,25936.0,7611.0,1325.0,37.6
austin,78725,9082.0,3503.0,1898.0,38.9
austin,78726,13414.0,5769.0,1460.0,28.3
austin,78727,29991.0,13304.0,1584.0,27.9
austin,78728,25361.0,12667.0,1267.0259242588575,29.500331766575563
austin,78729,30907.0,14329.0,1392.0,27.1
austin,78730,9455.0,3997.0,1412.0,21.4
austin,78731,26508.0,13150.0,1396.0150696064918,31.700151423423982
austin,78732,19653.0,7102.0,1482.0,35.3
austin,78733,9501.0,3077.0,2131.943556737653,18.501600564789122
austin,78734,21625.0,9164.0,1828.0,29.1
austin,78735,19152.0,8644.0,1726.0,29.100000000000005
austin,78736,9481.0,3854.0,1664.0,30.399999999999995
austin,78737,24783.0,7610.0,1829.0,23.5
austin,78738,26806.0,10467.0,1759.0,25.3
austin,78739,19898.0,6574.0,2818.0,16.4
austin,78741,46147.0,21432.0,1240.0,29.400000000000002
austin,78742,1099.0,307.0,1091.0,17.2
austin,78744,48526.0,17128.0,1320.0113643228142,32.60004562362698
austin,78745,62278.0,28448.0,1435.0025808883465,30.100057917178805
austin,78746,28017.0,10661.0,1774.0,26.7
austin,78747,20698.0,7143.0,1698.0,20.3
austin,78748,53501.0,22407.0,1558.0,30.9
austin,78749,35934.0,15373.0,1598.9999090711983,24.200264567430885
austin,78750,29559.0,11634.0,1612.0,27.2
austin,78751,15857.0,8551.0,1458.0086859156488,31.300151792020017
austin,78752,21179.0,9756.0,1230.0172686417886,33.3000192155466
austin,78753,58806.0,22307.0,1221.0063723525568,30.20005963619463
austin,78754,29691.0,10991.0,1382.007198564024,31.40007769917017
austin,78756,9314.0,4389.0,1185.0,27.2
austin,78757,25548.0,11083.0,1346.009775033836,28.50020381110308
austin,78758,50719.0,22643.0,1340.0100842904806,28.70019743946298
austin,78759,44979.0,21606.0,1394.0044850388947,26.200166899354393
boston,Allston,20635.0,8485.0,2040.8185606978434,38.57408286891204
boston,Back Bay,23821.0,12542.0,2239.1176048498755,32.44837806692091
boston,Bay Village,1.0,1.0,1595.7325644423388,33.70696606144814
boston,Beacon Hill,4225.0,1905.0,2368.0,27.0
boston,Brighton,45024.0,20040.0,1993.0,30.1
boston,Charlestown,20411.0,9278.0,1860.0,26.2
boston,Chinatown,7842.0,3516.0,1618.9970329717473,52.79756528513918
boston,Dorchester,112431.0,41385.0,1579.5851144257367,44.273590024103676
boston,Downtown,2315.0,1290.0,3029.0297453630847,33.50071521749097
boston,East Boston,45501.0,16925.0,1740.0,32.9
boston,Fenway,54415.0,17386.0,1961.2358357070661,49.52418450794818
boston,Hyde Park,40948.0,13930.0,1477.0028995937394,40.89982433735619
boston,Jamaica Plain,41112.0,17609.0,1975.0,29.5
boston,Leather District,1.0,1.0,1595.7325644423388,33.70696606144814
boston,Longwood Medical Area,1.0,1.0,1595.7325644423388,33.70696606144814
boston,Mattapan,25572.0,8785.0,1553.0,42.1
boston,Mission Hill,15082.0,4701.0,1363.0,33.8
boston,North End,10353.0,5983.0,2518.155896841495,25.354100260793974
boston,Roslindale,32609.0,12450.0,1679.0,32.3
boston,Roxbury,58196.0,22672.0,1094.959459972583,47.33754050048219
boston,South Boston,35266.0,16799.0,1875.0,23.1
boston,South Boston Waterfront,4831.0,3017.0,3256.6561234867404,26.201553915558154
boston,South End,27719.0,13848.0,1418.006411939985,41.49971885587725
boston,West End,13402.0,7359.0,2649.9213350667396,28.400395983141426
boston,West Roxbury,26437.0,10941.0,1778.0,31.0
broward-county,Coconut Creek,50406.0,20108.0,1761.058147839543,31.731022100543584
broward-county,Cooper City,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,Coral Springs,99774.0,32949.0,1623.0080929413364,35.80763940437512
broward-county,County Regional Facility,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,Dania Beach,15876.0,7003.0,1379.0,44.9
broward-county,Davie,88513.0,30739.0,1737.9386756747597,41.18756114920972
broward-county,Deerfield Beach,121614.0,50709.0,1491.9337718730117,41.01324113149852
