population,housing_units,rent_median,rent_burden,neighbourhood_cleansed,city,_merge
36365.0,14802.0,1922.0,21.9,Loyal Heights,seattle,both
28956.0,10001.0,1627.0,28.5,Eagle Rock,los-angeles,both
,,,,West Highland,denver,right_only
23473.0,7272.0,1810.0,32.9,Lahaina,hawaii,both
,,,,Lahaina,hawaii,both
52829.0,13426.0,1615.0,49.7,Waianae,hawaii,both
4054.0,1496.0,1519.0,36.6,North Kona,hawaii,both
,,,,North Kona,hawaii,both
40931.0,14272.0,1497.0,28.1,North Kona,hawaii,both
,,,,North Kona,hawaii,both
3719.0,1246.0,971.0,23.0,North Kona,hawaii,both
70859.0,26765.0,2130.0,22.4,Mission,san-francisco,both
,,,,Mission,san-francisco,both
,,,,Mission,san-francisco,both
,,,,Flushing,new-york-city,both
53375.0,20400.0,1602.0,50.7,Flushing,new-york-city,both
80918.0,29217.0,1525.0,44.4,Flushing,new-york-city,both
38103.0,13190.0,1849.0,36.7,Flushing,new-york-city,both
15514.0,9471.0,2606.0,26.2,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
33303.0,18294.0,2519.0,24.6,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
0.0,0.0,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Midtown,new-york-city,both
,,,,Mid-City,new-orleans,right_only
65891.0,35480.0,2399.0,25.5,Upper West Side,new-york-city,both
63916.0,29475.0,2543.0,25.2,Upper West Side,new-york-city,both
96918.0,41418.0,1690.0,27.1,Upper West Side,new-york-city,both
5774.0,2651.0,2790.0,23.0,Upper West Side,new-york-city,both
,,,,Upper West Side,new-york-city,both
,,,,Upper West Side,new-york-city,both
29887.0,16833.0,1612.0,37.6,Hollywood,los-angeles,both
27995.0,12595.0,1542.0,38.9,Hollywood,los-angeles,both
,,,,Hollywood,los-angeles,both
,,,,Hollywood,los-angeles,both
50590.0,17515.0,1843.0,35.7,Bushwick,new-york-city,both
50444.0,18673.0,1320.0,32.6,Ward F (councilmember Jermaine D. Robinson),jersey-city,both
50831.0,16799.0,1562.0,44.4,Mission Bay,san-diego,both
45333.0,21942.0,1942.0,27.4,Mission Bay,san-diego,both
,,,,Mission Bay,san-diego,both
85024.0,22724.0,1794.0,41.0,Mission Bay,san-diego,both
,,,,Mission Bay,san-diego,both
40697.0,15745.0,1023.0,32.2,District 2,nashville,both
1650.0,1249.0,1210.0,28.7,District 2,nashville,both
35037.0,13218.0,1367.0,34.3,East Hollywood,los-angeles,both
,,,,East Hollywood,los-angeles,both
60586.0,22668.0,1469.0,38.0,Deerfield Beach,broward-county,both
29347.0,12682.0,1292.0,39.8,Deerfield Beach,broward-county,both
31680.0,15358.0,1721.0,47.9,Deerfield Beach,broward-county,both
,,,,Deerfield Beach,broward-county,both
,,,,Long Beach,los-angeles,both
39036.0,21450.0,1520.0,32.6,Long Beach,los-angeles,both
32631.0,17502.0,1831.0,26.2,Long Beach,los-angeles,both
37953.0,14975.0,1508.0,36.2,Long Beach,los-angeles,both
96840.0,28175.0,1407.0,39.2,Long Beach,los-angeles,both
41571.0,12555.0,1355.0,36.0,Long Beach,los-angeles,both
32994.0,12788.0,1643.0,32.5,Long Beach,los-angeles,both
39723.0,14195.0,1933.0,27.1,Long Beach,los-angeles,both
,,,,Long Beach,los-angeles,both
37451.0,9871.0,1327.0,31.0,Long Beach,los-angeles,both
56420.0,17485.0,1312.0,38.1,Long Beach,los-angeles,both
19166.0,8817.0,1743.0,27.1,Long Beach,los-angeles,both
43092.0,14998.0,2054.0,31.8,Long Beach,los-angeles,both
117.0,0.0,,,Long Beach,los-angeles,both
0.0,0.0,,,Long Beach,los-angeles,both
,,,,Long Beach,los-angeles,both
,,,,Long Beach,los-angeles,both
0.0,0.0,,,Long Beach,los-angeles,both
,,,,Long Beach,los-angeles,both
,,,,Long Beach,los-angeles,both
,,,,Long Beach,los-angeles,both
,,,,Long Beach,los-angeles,both
,,,,Long Beach,los-angeles,both
,,,,Long Beach,los-angeles,both
25936.0,7611.0,1325.0,37.6,78724,austin,both
26966.0,14273.0,2269.0,29.0,Chelsea,new-york-city,both
51867.0,29222.0,2301.0,23.9,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
0.0,0.0,,,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
,,,,Chelsea,new-york-city,both
0.0,0.0,,,Chelsea,new-york-city,both
299.0,110.0,,,Unincorporated Areas,clark-county,both
949.0,235.0,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
794.0,255.0,832.0,,Unincorporated Areas,clark-county,both
2117.0,1122.0,668.0,35.7,Unincorporated Areas,clark-county,both
3214.0,946.0,1016.0,22.6,Unincorporated Areas,clark-county,both
867.0,359.0,713.0,29.1,Unincorporated Areas,clark-county,both
0.0,0.0,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
8482.0,4286.0,840.0,30.0,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
231.0,138.0,710.0,,Unincorporated Areas,clark-county,both
4382.0,1555.0,991.0,24.7,Unincorporated Areas,clark-county,both
25614.0,10165.0,1768.0,30.5,Unincorporated Areas,clark-county,both
363.0,237.0,588.0,19.8,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
5525.0,0.0,,,Unincorporated Areas,clark-county,both
51966.0,22333.0,1088.0,31.6,Unincorporated Areas,clark-county,both
39781.0,14867.0,959.0,36.4,Unincorporated Areas,clark-county,both
6355.0,3259.0,970.0,38.3,Unincorporated Areas,clark-county,both
67361.0,21368.0,1125.0,41.1,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
34227.0,13607.0,1456.0,31.9,Unincorporated Areas,clark-county,both
65713.0,18947.0,1079.0,36.1,Unincorporated Areas,clark-county,both
22701.0,8737.0,1309.0,29.4,Unincorporated Areas,clark-county,both
50847.0,22229.0,986.0,31.0,Unincorporated Areas,clark-county,both
24418.0,9254.0,1167.0,31.5,Unincorporated Areas,clark-county,both
66455.0,24244.0,1087.0,35.4,Unincorporated Areas,clark-county,both
51772.0,18997.0,1148.0,35.5,Unincorporated Areas,clark-county,both
60823.0,23534.0,1408.0,29.3,Unincorporated Areas,clark-county,both
616.0,282.0,1057.0,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
29706.0,12782.0,1993.0,29.2,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
42898.0,13350.0,1657.0,25.5,Unincorporated Areas,clark-county,both
37596.0,12596.0,1743.0,30.6,Unincorporated Areas,clark-county,both
34008.0,10548.0,1226.0,37.8,Unincorporated Areas,clark-county,both
19756.0,7635.0,1184.0,30.8,Unincorporated Areas,clark-county,both
56463.0,21163.0,1458.0,32.6,Unincorporated Areas,clark-county,both
61289.0,21838.0,1654.0,25.8,Unincorporated Areas,clark-county,both
41668.0,15731.0,1497.0,27.1,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
30740.0,9750.0,1127.0,29.9,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
406.0,288.0,2028.0,21.3,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
534.0,213.0,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
27060.0,9077.0,1555.0,27.5,Unincorporated Areas,clark-county,both
20864.0,9957.0,969.0,43.0,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
38928.0,13921.0,1657.0,26.8,Unincorporated Areas,clark-county,both
11880.0,3736.0,1818.0,24.1,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
41126.0,14375.0,1464.0,30.6,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
,,,,Unincorporated Areas,clark-county,both
,,,,Pike-Market,seattle,both
42107.0,18052.0,2390.0,26.2,Park Slope,new-york-city,both
24830.0,11093.0,1558.0,31.3,78702,austin,both
,,,,78702,austin,both
36317.0,16306.0,1347.0,24.4,District 12,dallas,both
27310.0,12458.0,1160.0,28.5,District 12,dallas,both
51855.0,26947.0,1171.0,27.4,District 12,dallas,both
,,,,District 12,dallas,both
,,,,District 12,dallas,both
41818.0,14364.0,1819.0,28.0,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
25292.0,11577.0,1640.0,34.5,Primary Urban Center,hawaii,both
22880.0,11795.0,1606.0,30.7,Primary Urban Center,hawaii,both
26608.0,14584.0,1768.0,34.3,Primary Urban Center,hawaii,both
51526.0,17881.0,1762.0,30.7,Primary Urban Center,hawaii,both
54183.0,19058.0,1291.0,32.6,Primary Urban Center,hawaii,both
59703.0,18992.0,2918.0,46.2,Primary Urban Center,hawaii,both
51712.0,11778.0,1580.0,27.8,Primary Urban Center,hawaii,both
0.0,0.0,,,Primary Urban Center,hawaii,both
48037.0,18842.0,1575.0,30.0,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
30592.0,14621.0,1410.0,32.7,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
766.0,0.0,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
0.0,0.0,,,Primary Urban Center,hawaii,both
461.0,0.0,,,Primary Urban Center,hawaii,both
250.0,0.0,,,Primary Urban Center,hawaii,both
0.0,0.0,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
,,,,Primary Urban Center,hawaii,both
37826.0,13959.0,1218.0,44.4,Pompano Beach,broward-county,both
,,,,Pompano Beach,broward-county,both
23763.0,13274.0,1584.0,33.4,Pompano Beach,broward-county,both
29089.0,11115.0,1417.0,32.3,Pompano Beach,broward-county,both
,,,,Pompano Beach,broward-county,both
,,,,Pompano Beach,broward-county,both
,,,,Pompano Beach,broward-county,both
33620.0,13792.0,2129.0,33.9,Culver City,los-angeles,both
,,,,Culver City,los-angeles,both
15342.0,7101.0,2245.0,28.1,Culver City,los-angeles,both
19787.0,8926.0,2498.0,22.9,Hermosa Beach,los-angeles,both
,,,,Rolling Hills Estates,los-angeles,right_only
10728.0,4130.0,1405.0,41.0,78721,austin,both
,,,,78721,austin,both
59685.0,16192.0,1565.0,37.4,Rosemead,los-angeles,both
,,,,Rosemead,los-angeles,both
,,,,Rosemead,los-angeles,both
,,,,Glenview,oakland,right_only
1289.0,413.0,985.0,13.5,North Shore Kauai,hawaii,both
2093.0,925.0,1373.0,,North Shore Kauai,hawaii,both
4111.0,1198.0,1836.0,31.6,North Shore Kauai,hawaii,both
29547.0,10853.0,1886.0,36.1,Kihei-Makena,hawaii,both
20411.0,9278.0,1860.0,26.2,Charlestown,boston,both
,,,,District 6,nashville,both
28694.0,12176.0,1284.0,34.1,District 6,nashville,both
45.0,24.0,,,District 6,nashville,both
17491.0,11165.0,1834.0,23.6,District 14,dallas,both
2212.0,1461.0,1761.0,26.1,District 14,dallas,both
31860.0,18689.0,1599.0,26.3,District 14,dallas,both
38209.0,20910.0,1419.0,25.4,District 14,dallas,both
,,,,District 14,dallas,both
0.0,0.0,,,District 14,dallas,both
,,,,District 14,dallas,both
,,,,District 14,dallas,both
,,,,District 14,dallas,both
,,,,District 14,dallas,both
37287.0,12737.0,1494.0,29.6,City of Henderson,clark-county,both
,,,,City of Henderson,clark-county,both
31071.0,11975.0,1380.0,30.0,City of Henderson,clark-county,both
38356.0,15372.0,1632.0,28.5,City of Henderson,clark-county,both
41429.0,16801.0,1349.0,30.0,City of Henderson,clark-county,both
39872.0,14698.0,1141.0,33.2,City of Henderson,clark-county,both
57966.0,23531.0,1647.0,31.2,City of Henderson,clark-county,both
338.0,94.0,,,City of Henderson,clark-county,both
51609.0,20496.0,1467.0,28.0,City of Henderson,clark-county,both
,,,,City of Henderson,clark-county,both
,,,,Brighton Beach,new-york-city,right_only
,,,,West Hollywood,los-angeles,right_only
9314.0,4389.0,1185.0,27.2,78756,austin,both
,,,,City of Santa Cruz,santa-cruz-county,both
,,,,City of Santa Cruz,santa-cruz-county,both
10646.0,536.0,1392.0,,City of Santa Cruz,santa-cruz-county,both
,,,,City of Santa Cruz,santa-cruz-county,both
8163.0,2209.0,1665.0,25.4,District 6,dallas,both
